"codigo-da-ocorrencia";"classificacao-da-ocorrencia";"data-e-hora-da-ocorrencia";"latitude-da-ocorrencia";"longitude-da-ocorrencia";"cidade-da-ocorrencia";"uf-da-ocorrencia";"pais-da-ocorrencia";"aerodromo-da-ocorrencia";"investigacao-da-aeronave-foi-liberada";"status-da-investigacao";"numero-do-relatorio-de-divulgacao";"relatorio-de-divulgacao-foi-publicado";"dia-da-divulgacao-da-publicacao";"total-de-recomendacoes";"total-de-aeronaves-envolvidas";"ocorrencia-na-saida-da-pista";"tipo-de-ocorrencia";"tipo-de-categoria-da-ocorrencia";"taxonomia-do-tipo-de-icao";"matricula-da-aeronave";"categoria-do-operador-de-aeronave";"tipo-de-aeronave";"fabricante-da-aeronave";"modelo-de-aeronave";"tipo-de-aeronave-icao";"aeronave-motor-tipo";"aeronave-motor-quantidade";"aeronave-pmd";"categoria-pmd-aeronave";"quantidade-de-assentos-na-aeronave";"ano-de-fabricacao-da-aeronave";"pais-fabricante-da-aeronave";"pais-de-registro-da-aeronave";"registro-da-categoria-da-aeronave";"registro-segmento-da-aeronave";"voo-de-origem-do-acidente";"voo-destino-do-acidente";"fase-de-operacao-da-aeronave";"tipo-de-operacao-da-aeronave";"nivel-de-dano-da-aeronave";"total-de-fatalidades-no-acidente";"fator-do-acidente";"aspecto-do-fator-da-ocorrencia";"fator-condicionante";"area-do-fator";"numero-da-recomendacao";"dia-da-assinatura-de-recomendacao";"dia-do-encaminhamento-da-recomendacao";"conteudo-da-recomendacao";"status-da-recomendacao";"orgao-de-recomendacao"
39115;ACIDENTE;07/02/2010 17:40;-1,34E+11;-4,46E+11;CORRENTINA;BA;BRASIL;SNTY;SIM;FINALIZADA;A-031/CENIPA/2011;SIM;21/07/2011;2;1;NÃO;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL;PTNQX;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711A;P28R;PISTÃO;MONOMOTOR;1202;1202;4;1979;BRASIL;BRASIL;AVIÃO;PARTICULAR;BRIGADEIRO ARARIPE MACEDO;CORRENTINA;DECOLAGEM;PRIVADA;SUBSTANCIAL;0;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;095/2011;21/07/2011;01/08/2011 00:00;Revisar os requisitos de experiência recente para a revalidação de habilitação de aviões classe monomotores terrestres, visando assegurar-se de que são adequados para pilotos com baixo número de horas de voo durante dois ou mais anos seguidos.;NÃO CUMPRIDA;ANAC
39156;INCIDENTE GRAVE;10/01/2010 23:15;-1,52E+11;-5,94E+11;CASCAVEL;PR;BRASIL;SBCA;SIM;FINALIZADA;I-004/CENIPA/2011;SIM;30/06/2011;2;1;NÃO;FOGO EM VOO;FOGO/FUMAÇA (SEM IMPACTO) | FOGO EM VOO;F-NI;PPPTO;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;22500;22500;73;2008;BRASIL;BRASIL;AVIÃO;REGULAR;AFONSO PENA;ADALBERTO MENDES DA SILVA;ARREMETIDA NO AR;REGULAR;LEVE;0;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL;063/2011;30/06/2011;01/08/2011 00:00;Divulgar este Relatório aos operadores de aeronave ATR-72-212A, alertando para a adoção dos procedimentos previstos no Manual de Manutenção do Motor para a instalação dos bicos injetores de combustível.;CUMPRIDA;ANAC
39235;ACIDENTE;06/02/2010 17:20;-1,81E+11;-5,01E+11;ITUMBIARA;GO;BRASIL;****;SIM;FINALIZADA;A-067/CENIPA/2011;SIM;29/08/2011;3;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTWKN;***;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1497;1497;1;1976;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;DESTRUÍDA;1;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;205/2011;29/08/2011;29/09/2011 00:00;Realizar uma vistoria de segurança de voo na Aero Agrícola Rio Verde, a fim de verificar as suas condições operacionais.;CUMPRIDA;ANAC
39275;ACIDENTE;10/02/2010 09:03;-2,36E+11;-4,67E+11;SÃO PAULO;SP;BRASIL;****;SIM;FINALIZADA;A-009/CENIPA/2014;SIM;22/04/2016;3;1;NÃO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP;PTYRE;***;HELICÓPTERO;EUROCOPTER FRANCE;AS 350 BA;***;TURBOEIXO;MONOMOTOR;2100;2100;6;1994;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;CAMPO DE MARTE;CAMPO DE MARTE;CRUZEIRO;PRIVADA;DESTRUÍDA;1;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;A-009/CENIPA/2014 – 01;22/04/2016;17/05/2016 00:00;Avaliar a necessidade de criar um regulamento específico, que estabeleça critérios para obtenção de um Certificado de Operador Aéreo (COA) para empresas que exploram comercialmente os serviços de aeroreportagem, aerocinematografia, aerofotografia e outros previstos no RBHA 91, de maneira similar ao que já ocorre com o Serviço Aéreo Especializado Aeroagrícola.;NÃO CUMPRIDA;ANAC
39316;ACIDENTE;04/02/2010 17:55;-2,72E+11;-4,98E+11;RIO DO OESTE;SC;BRASIL;****;SIM;FINALIZADA;A-011/CENIPA/2011;SIM;18/05/2011;2;1;NÃO;POUSO ANTES DA PISTA;POUSO AQUÉM/ALÉM DA PISTA | POUSO ANTES DA PISTA;USOS;PPGMH;***;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1992;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;BLUMENAU;RANCHO SUMIDOR;POUSO;INSTRUÇÃO;SUBSTANCIAL;0;CONDIÇÕES METEOROLÓGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL;034/2011;18/05/2011;27/05/2011 00:00;Realizar uma auditoria no Aeroclube de Blumenau, visando verificar a conformidade da atividade aérea de instrução desenvolvida com os requisitos aplicáveis.;CUMPRIDA;ANAC
39318;ACIDENTE;25/01/2010 16:20;-2.6;-5,18E+11;SENADOR JOSÉ PORFÍRIO;PA;BRASIL;****;***;FINALIZADA;A-122/CENIPA/2012;SIM;19/11/2012;5;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PTTAF;***;AVIÃO;EMBRAER;EMB-110;E110;TURBOÉLICE;BIMOTOR;5600;5600;1;1976;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;VAL DE CANS / JÚLIO CEZAR RIBEIRO;WILMA REBELO;DESCIDA;TÁXI AÉREO;SUBSTANCIAL;2;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO;471/2012;19/11/2012;11/12/2012 00:00;Reavaliar os programas de manutenção aprovados para as empresas que operam segundo o RBAC 135, no que tange aos limites para revisão geral estabelecidos pela Pratt & Whitney para os motores da série PT6, em especial no tocante aos limites calendáricos.;CUMPRIDA;ANAC
39319;ACIDENTE;27/01/2010 11:25;-234125;-4,76E+11;IPERÓ;SP;BRASIL;****;SIM;FINALIZADA;A-017/CENIPA/2011;SIM;30/06/2011;3;1;NÃO;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL;PRUGO;***;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6;1981;BRASIL;BRASIL;AVIÃO;PARTICULAR;SOROCABA;FAZENDA SANTA RITA;SUBIDA;PRIVADA;DESTRUÍDA;2;ANSIEDADE;ASPECTO MÉDICO;***;FATOR HUMANO;067/2011;30/06/2011;01/08/2011 00:00;Adotar mecanismo para a padronização das avaliações efetuadas pelos Inspetores de Aviação Civil (INSPAC), no sentido de que seja exigido dos avaliados a demonstração teórica e prática de conhecimentos afetos aos gráficos de desempenho das aeronaves, bem como o profundo conhecimento dos procedimentos de emergência.;CUMPRIDA;ANAC
39320;ACIDENTE;19/01/2010 18:30;-2,03E+11;-5,27E+11;FAROL;PR;BRASIL;****;***;FINALIZADA;A-095/CENIPA/2010;SIM;06/12/2010;4;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTFNI;***;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1905;1905;1;1977;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;035/2010;13/05/2010;20/04/2010 00:00;Criar um mecanismo de segurança operacional que determine aos pilotos, antes de cada voo, avaliar a influência das condições ambientais (temperatura, altitude pressão e vento) no planejamento da decolagem.;AGUARDANDO RESPOSTA;BRASAG
39321;ACIDENTE;23/01/2010 13:00;-1,52E+11;-5,94E+11;PONTES E LACERDA;MT;BRASIL;****;***;FINALIZADA;A-010/CENIPA/2011;SIM;18/05/2011;2;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTOHL;***;AVIÃO;CESSNA AIRCRAFT;210N;C210;PISTÃO;MONOMOTOR;1724;1724;6;1981;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;DESTRUÍDA;1;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;032/2011;18/05/2011;27/05/2011 00:00;Divulgar este Relatório aos pilotos da aviação geral, enfatizando a necessidade da realização do circuito de tráfego padrão, da operação em aeródromos registrados e homologados, bem como dos conceitos de aproximação estabilizada.;AGUARDANDO RESPOSTA;ABAG
39322;ACIDENTE;26/01/2010 13:50;-2,37E+11;-4,66E+11;SÃO BERNARDO DO CAMPO;SP;BRASIL;****;SIM;FINALIZADA;A-030/CENIPA/2011;SIM;21/07/2011;2;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTYSG;***;HELICÓPTERO;ROBINSON HELICOPTER;R44;R44;PISTÃO;MONOMOTOR;1088;1088;4;1997;BRASIL;BRASIL;HELICÓPTERO;ESPECIALIZADA;MERCEDES-BENZ DO BRASIL LTDA;FORA DE AERODROMO;DECOLAGEM;ESPECIALIZADA;SUBSTANCIAL;0;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO;093/2011;21/07/2011;01/08/2011 00:00;Realizar uma Vistoria de Segurança de Voo na empresa ROTORWEST, visando à verificação de não conformidades relacionadas ao não lançamento de horas de voo em suas aeronaves e à utilização destas em atividades diferentes das previstas para uma empresa SAE.;CUMPRIDA;ANAC
